@relation 'User26-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute dominantEmo {Happy,Neutral,Surprised,Sad,Disgusted,Scared}
@attribute endEmo {Happy,Neutral,Sad,Disgusted,Scared,Surprised}
@attribute social {Partner,Alone,Friends,Colleagues}
@attribute mood {Neutral,Positive,Negative}
@attribute decision {Decision,Given}
@attribute location {Home,Friend,Public}
@attribute weather {Sunny,Rainy,Cloudy,Snowy}
@attribute interaction {First,Nth}
@attribute daytype {Working,Weekend,Holiday}
@attribute time {Night,Evening,Afternoon}
@attribute physical {Healthy,Ill}
@attribute season {Autumn,Winter,Summer,Spring}
@attribute country {France}
@attribute city numeric
@attribute itemID numeric
@attribute age numeric
@attribute sex {Female}
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Neutral,Neutral,Partner,Neutral,Given,Home,Sunny,First,Weekend,Afternoon,Healthy,Summer,France,3,4001,-1,Female,26,2
Neutral,Neutral,Partner,Neutral,Given,Home,Sunny,First,Working,Evening,Healthy,Summer,France,3,3980,-1,Female,26,5
Neutral,Neutral,Alone,Neutral,Decision,Home,Sunny,First,Working,Evening,Healthy,Summer,France,3,3909,-1,Female,26,3
Neutral,Neutral,Partner,Neutral,Decision,Home,Sunny,First,Weekend,Evening,Healthy,Summer,France,3,3992,-1,Female,26,3
Neutral,Neutral,Partner,Neutral,Given,Home,Rainy,Nth,Working,Evening,Healthy,Summer,France,3,4065,-1,Female,26,3
Neutral,Neutral,Partner,Neutral,Given,Home,Sunny,Nth,Working,Evening,Healthy,Summer,France,3,3797,-1,Female,26,4
Neutral,Neutral,Partner,Neutral,Given,Home,Sunny,First,Working,Evening,Healthy,Autumn,France,3,3443,-1,Female,26,4
Neutral,Neutral,Partner,Positive,Given,Home,Sunny,Nth,Working,Evening,Healthy,Autumn,France,3,3832,-1,Female,26,5
Neutral,Neutral,Partner,Positive,Given,Home,Cloudy,First,Working,Evening,Healthy,Autumn,France,3,4082,-1,Female,26,1
Disgusted,Neutral,Partner,Positive,Given,Home,Cloudy,First,Weekend,Night,Healthy,Autumn,France,3,3964,-1,Female,26,1
Neutral,Neutral,Partner,Neutral,Decision,Home,Cloudy,First,Weekend,Evening,Healthy,Autumn,France,3,4032,-1,Female,26,3
Happy,Neutral,Partner,Positive,Given,Home,Rainy,Nth,Working,Night,Healthy,Autumn,France,3,3032,-1,Female,26,5
Neutral,Neutral,Partner,Neutral,Given,Home,Cloudy,First,Working,Evening,Healthy,Autumn,France,3,4081,-1,Female,26,5
Neutral,Happy,Partner,Neutral,Decision,Home,Cloudy,First,Weekend,Evening,Healthy,Autumn,France,3,4098,-1,Female,26,5
Neutral,Sad,Partner,Positive,Given,Home,Cloudy,Nth,Working,Evening,Healthy,Autumn,France,3,3922,-1,Female,26,5
Neutral,Neutral,Alone,Neutral,Decision,Home,Rainy,Nth,Weekend,Afternoon,Healthy,Autumn,France,3,2677,-1,Female,26,5
Surprised,Surprised,Alone,Neutral,Decision,Home,Rainy,Nth,Weekend,Evening,Healthy,Autumn,France,3,2725,-1,Female,26,5
Neutral,Neutral,Partner,Positive,Decision,Home,Sunny,First,Working,Evening,Healthy,Autumn,France,3,4087,-1,Female,26,4
Neutral,Neutral,Alone,Neutral,Given,Home,Cloudy,Nth,Weekend,Afternoon,Ill,Autumn,France,3,2460,-1,Female,26,4
Neutral,Neutral,Partner,Neutral,Given,Home,Cloudy,First,Weekend,Evening,Healthy,Autumn,France,3,4125,-1,Female,26,4
Neutral,Neutral,Partner,Negative,Given,Home,Cloudy,First,Working,Evening,Ill,Autumn,France,3,4127,-1,Female,26,1
Neutral,Neutral,Partner,Negative,Given,Home,Cloudy,First,Working,Evening,Ill,Autumn,France,3,4033,-1,Female,26,4
Scared,Neutral,Partner,Negative,Decision,Home,Cloudy,First,Working,Night,Ill,Autumn,France,3,4128,-1,Female,26,4
Neutral,Neutral,Partner,Neutral,Given,Home,Cloudy,First,Weekend,Evening,Healthy,Autumn,France,3,4138,-1,Female,26,4
Neutral,Neutral,Partner,Neutral,Given,Home,Cloudy,First,Working,Evening,Healthy,Autumn,France,3,4144,-1,Female,26,4
Neutral,Neutral,Partner,Neutral,Decision,Home,Cloudy,First,Weekend,Evening,Healthy,Autumn,France,3,4155,-1,Female,26,1
Sad,Neutral,Alone,Neutral,Decision,Home,Cloudy,First,Weekend,Afternoon,Healthy,Autumn,France,3,4156,-1,Female,26,4
Neutral,Neutral,Partner,Neutral,Decision,Home,Rainy,First,Working,Evening,Healthy,Autumn,France,3,4159,-1,Female,26,4
Neutral,Neutral,Partner,Neutral,Decision,Home,Cloudy,First,Working,Evening,Healthy,Winter,France,3,4166,-1,Female,26,4
Happy,Happy,Partner,Neutral,Decision,Home,Cloudy,Nth,Holiday,Evening,Healthy,Winter,France,3,1972,-1,Female,26,4
Neutral,Neutral,Partner,Neutral,Decision,Home,Cloudy,Nth,Holiday,Evening,Healthy,Winter,France,3,3984,-1,Female,26,5
Neutral,Neutral,Partner,Neutral,Decision,Home,Cloudy,First,Holiday,Evening,Healthy,Winter,France,3,4147,-1,Female,26,3
Neutral,Neutral,Partner,Neutral,Decision,Home,Cloudy,First,Working,Night,Healthy,Winter,France,3,3029,-1,Female,26,2
Neutral,Neutral,Alone,Neutral,Decision,Home,Cloudy,First,Working,Evening,Healthy,Winter,France,3,4200,-1,Female,26,5
