@relation 'User35-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute endEmo {Disgusted,Happy,Sad,Surprised,Neutral,Angry,Scared}
@attribute dominantEmo {Disgusted,Surprised,Happy,Scared,Neutral,Angry,Sad}
@attribute season {Autumn,Summer,Winter,Spring}
@attribute social {Alone,Parents,Public,Family,Friends}
@attribute weather {Sunny,Rainy,Cloudy,Snowy}
@attribute physical {Ill,Healthy}
@attribute time {Evening,Night,Afternoon}
@attribute location {Home,Public,Friend}
@attribute mood {Neutral,Positive,Negative}
@attribute daytype {Working,Weekend,Holiday}
@attribute interaction {First,Nth}
@attribute decision {Decision,Given}
@attribute age numeric
@attribute itemID numeric
@attribute sex {Male}
@attribute country {Denmark}
@attribute city numeric
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Happy,Neutral,Spring,Alone,Rainy,Healthy,Night,Home,Positive,Working,First,Decision,30,3983,Male,Denmark,10,35,3
Happy,Happy,Spring,Alone,Cloudy,Healthy,Evening,Home,Neutral,Working,First,Decision,30,3990,Male,Denmark,10,35,4
Happy,Happy,Spring,Alone,Sunny,Healthy,Evening,Home,Neutral,Working,First,Decision,30,3996,Male,Denmark,10,35,4
Happy,Happy,Summer,Alone,Sunny,Healthy,Evening,Home,Neutral,Working,Nth,Given,30,1983,Male,Denmark,10,35,5
Happy,Happy,Summer,Alone,Rainy,Healthy,Night,Home,Positive,Weekend,Nth,Given,30,4020,Male,Denmark,10,35,5
Happy,Happy,Summer,Alone,Sunny,Healthy,Evening,Home,Positive,Working,First,Given,30,4025,Male,Denmark,10,35,5
Happy,Happy,Summer,Alone,Sunny,Healthy,Afternoon,Home,Positive,Holiday,First,Decision,30,3972,Male,Denmark,10,35,4
Happy,Happy,Summer,Alone,Sunny,Healthy,Night,Home,Positive,Holiday,First,Decision,30,4003,Male,Denmark,10,35,5
Happy,Happy,Summer,Alone,Cloudy,Healthy,Night,Home,Neutral,Holiday,First,Decision,30,4054,Male,Denmark,10,35,5
Happy,Happy,Summer,Family,Sunny,Ill,Afternoon,Home,Neutral,Working,First,Decision,30,3992,Male,Denmark,10,35,5
Happy,Happy,Summer,Alone,Sunny,Healthy,Afternoon,Home,Positive,Working,Nth,Decision,30,3664,Male,Denmark,10,35,5
Surprised,Sad,Winter,Alone,Sunny,Healthy,Afternoon,Home,Neutral,Working,First,Decision,30,4183,Male,Denmark,10,35,4
Surprised,Surprised,Winter,Alone,Sunny,Healthy,Afternoon,Home,Negative,Working,First,Decision,30,4249,Male,Denmark,10,35,4
