@relation 'User193-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute location {Friend,Home,Public}
@attribute time {Night,Evening,Morning,Afternoon}
@attribute weather {Cloudy,Sunny,Rainy}
@attribute social {Partner,Alone,Family,Parents}
@attribute daytype {Working,Weekend,Holiday}
@attribute interaction {First,Nth}
@attribute mood {Neutral,Negative,Positive}
@attribute season {Autumn,Winter,Summer,Spring}
@attribute physical {Healthy,Ill}
@attribute dominantEmo {Neutral,Happy,Sad}
@attribute endEmo {Neutral,Happy,Sad}
@attribute sex {Male}
@attribute itemID numeric
@attribute age numeric
@attribute city numeric
@attribute decision {Given}
@attribute country {Denmark}
@attribute userID numeric
@attribute rating {1,2,3,4,5}

@data
Home,Night,Rainy,Partner,Working,First,Neutral,Spring,Healthy,Neutral,Neutral,Male,4296,22,16,Given,Denmark,193,5
Home,Night,Cloudy,Partner,Working,First,Neutral,Spring,Healthy,Neutral,Neutral,Male,4228,22,16,Given,Denmark,193,3
Home,Night,Rainy,Family,Working,First,Neutral,Spring,Healthy,Neutral,Neutral,Male,4306,22,16,Given,Denmark,193,4
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,223,22,16,Given,Denmark,193,4
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,3560,22,16,Given,Denmark,193,3
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,3880,22,16,Given,Denmark,193,1
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,3547,22,16,Given,Denmark,193,4
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,3504,22,16,Given,Denmark,193,3
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,3549,22,16,Given,Denmark,193,4
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,3556,22,16,Given,Denmark,193,2
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,172,22,16,Given,Denmark,193,2
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,3548,22,16,Given,Denmark,193,4
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,3617,22,16,Given,Denmark,193,1
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,219,22,16,Given,Denmark,193,5
Home,Night,Rainy,Partner,Working,First,Neutral,Spring,Healthy,Neutral,Neutral,Male,4303,22,16,Given,Denmark,193,5
Friend,Night,Cloudy,Family,Holiday,Nth,Negative,Winter,Ill,Neutral,Neutral,Male,4101,22,16,Given,Denmark,193,2
Home,Evening,Sunny,Partner,Working,First,Neutral,Spring,Healthy,Neutral,Neutral,Male,4332,22,16,Given,Denmark,193,4
